cell_id,Roads:number_intersections,Roads:diversity,Roads:total,Buildings:diversity,Buildings:total,LandUse:Mix,TrafficPoints:crossing,poisAreas:area_park,poisAreas:area_pitch,pois:diversity,pois:total,ThirdPlaces:oa_count,ThirdPlaces:edt_count,ThirdPlaces:out_count,ThirdPlaces:cv_count,ThirdPlaces:diversity,ThirdPlaces:total,vertical_density,buildings_age,buildings_age:diversity,most_present_age
2061_1_3,0.045636343,1.439577293,0.084215519,0.857174044,0.007057166,1.39E-12,0,0,0,1.329661349,0.002822867,0,0,0,0,0,0,1.434724092,38.19313594,1.992910601,age_under_18
2061_1_0,0.092684119,1.305200601,0.164667216,0.636514168,0.001411433,5.70E-12,0,0,0,1.891996493,0.004704778,0.000470478,0.001411433,0,0.001881911,0.000458393,0.003763822,1.640102828,34.7517138,1.834060727,age_over_60
2061_2_3,0.048459209,1.279526054,0.083745041,1.039720771,0.001881911,0,0,0,0,0.348832096,0.0042343,0,0.000470478,0,0,0,0.000470478,2.254901961,26.80392157,1.564301864,age_over_60
2061_3_2,0.017878155,1.560330165,0.033403921,0,0.000940956,9.44E-11,0,0,3.19E-10,1.039720771,0.002352389,0,0,0.000940956,0,0,0.000940956,2.076023392,48.59649123,1.863853523,age_over_60
2061_3_3,0.109621318,1.207066985,0.187720626,0.699036953,0.058339242,1.69E-10,0,0,1.79E-11,1.791759469,0.002822867,0,0.000470478,0.000470478,0.001411433,0.000447081,0.002352389,1.970890411,36.44263699,1.963381,age_under_18
2061_3_0,0.197130182,1.432378307,0.343448765,0.077467453,0.961186064,3.05E-12,0.007998122,0,7.92E-10,3.563120068,0.016466722,0.001411433,0.001411433,0.001411433,0.004704778,0.000570293,0.008939077,2.108850129,48.60675065,2.033463605,age_over_60
2061_0_1,0.200894004,1.459300413,0.370736475,1.330823937,0.009409555,2.53E-11,0,7.08E-10,5.01E-10,3.901111172,0.019289588,0.002822867,0.000940956,0.006586689,0.001881911,0.000544337,0.012232422,1.789624769,38.40547468,1.933377206,age_over_60
2061_0_2,0.088920297,1.541526663,0.151964317,1.467733929,0.005645733,3.52E-10,0,1.54E-11,3.14E-10,3.6787781,0.007057166,0.000940956,0.002822867,0.000940956,0.000470478,0.000549762,0.005175255,1.634883721,43.46482558,2.033081478,age_over_60
2061_0_3,0.155728139,1.485293177,0.277111401,0.154813463,0.504352159,5.00E-11,0,3.19E-09,1.56E-09,3.715910985,0.010820988,0.000940956,0.000470478,0.003763822,0.002822867,0.000536683,0.007998122,1.944792482,37.47631167,1.892842119,age_under_18
2061_0_0,0.274288534,1.457182066,0.471889193,0.73562194,0.003763822,3.41E-13,0,1.13E-10,5.73E-10,4.047918305,0.021641977,0.000940956,0.002822867,0.005645733,0.003763822,0.000583232,0.013173377,1.981359937,38.99789971,1.797265379,age_over_60
2062_1_3,0.021641977,1.510440225,0.041402043,0,0,1.51E-11,0,0,0,0,0,0,0,0,0,0,0,2.698992443,58.64987406,1.922478761,age_over_60
2062_1_0,0.007998122,1.396295356,0.017407677,0,0,3.68E-11,0,0,0,0.693147181,0.001411433,0,0,0,0,0,0,2.310810811,30.6722973,1.481261115,age_over_60
2062_2_3,0.020701021,0.802019113,0.037638221,0.693147181,0.000940956,0,0,0,0,1.791759469,0.002352389,0,0,0,0,0,0,2.048648649,42.78108108,1.833130523,age_30_40
2062_2_0,0.030110577,1.531465273,0.053634465,0,0.000940956,5.43E-14,0,1.76E-11,0,2.707182704,0.005645733,0.001881911,0.000470478,0.000470478,0.000940956,0.000570693,0.003763822,2.974038462,73.35769231,1.627311035,age_30_40
2062_3_1,0.048459209,1.608913746,0.089390774,1.039720771,0.001881911,1.61E-12,0.000940956,0,3.49E-11,3.773393569,0.007057166,0.000940956,0.001411433,0.000940956,0.000470478,0.000621449,0.003763822,2.289855072,47.76147343,1.979715771,age_30_40
2062_3_2,0.121383262,1.726257819,0.230063625,0.678768738,0.353799276,9.76E-12,0,0,4.26E-10,3.717788787,0.015055288,0.0042343,0,0.001881911,0.000470478,0.000390718,0.006586689,2.239061509,64.78598605,1.741943854,age_30_40
2062_3_0,0.138790939,1.565800141,0.230534102,0.867563228,0.002822867,1.30E-10,0.000940956,0,0,0.636514168,0.001411433,0,0,0,0.000940956,0,0.000940956,2.219876869,39.45778364,1.782140903,age_30_40
2062_0_1,0.099270807,1.442552532,0.166549127,1.684949368,0.014114333,5.86E-11,0.003293344,1.21E-09,8.58E-10,4.552578166,0.021641977,0.002822867,0.001411433,0.004704778,0.001881911,0.000603417,0.010820988,2.580705009,64.42996289,1.794421247,age_30_40
2062_0_2,0.063984975,1.518027281,0.114326096,0.434944202,0.014114333,2.13E-11,0,0,7.04E-10,1.791759469,0.0042343,0.000470478,0.000470478,0.001411433,0.000470478,0.000584547,0.002822867,2.300771208,50.85732648,2.030657057,age_30_40
2062_0_3,0.034815354,1.471512524,0.062103064,0.693147181,0.000940956,6.80E-12,0,0,3.19E-11,1.33217904,0.002352389,0.000470478,0.000940956,0.000470478,0,0.000489165,0.001881911,2.193223443,46.77930403,1.97723645,age_30_40
2062_0_0,0.444601483,1.269925746,0.696307085,1.297707239,0.043754432,1.21E-10,0.017407677,2.71E-10,1.41E-09,4.900994177,0.033403921,0.005175255,0.005645733,0.0084686,0.004704778,0.000639064,0.023994366,2.467754777,44.57862261,1.795765034,age_30_40
2063_1,0.056927809,1.537058567,0.098212232,1.602302695,0.00635145,4.98E-11,0,0,1.65E-10,4.254382092,0.006116211,0.000235239,0.000705717,0.001293814,0.001646672,0.000142299,0.003881442,2.252616208,47.01569725,1.996277565,age_30_40
2063_3_1,0.028228666,1.557246723,0.053634465,0,0.000470478,3.99E-11,0,0,3.17E-10,2.48490665,0.003293344,0.000940956,0,0.000470478,0,0.000299466,0.001411433,2.480546075,52.54129693,1.819495555,age_over_60
2063_3_2,0.055045898,1.470876958,0.095036508,0,0,2.86E-10,0,0,0,1.039720771,0.002352389,0,0.000470478,0,0.000470478,0.00032611,0.000940956,2.523333333,45.89333333,1.539756415,age_over_60
2063_3_3,0.032462965,1.602910384,0.05880972,0,0,2.17E-09,0,0,3.93E-10,2.826354178,0.006116211,0.000470478,0.000940956,0.001411433,0,0.000475843,0.002822867,2.472184532,65.36770692,1.820516135,age_over_60
2063_3_0,0.060221153,1.65948656,0.111503229,0.562335145,0.001881911,9.16E-10,0,0,3.40E-10,3.03578672,0.006116211,0.002352389,0,0.000470478,0.000940956,0.00042355,0.003763822,2.647959184,57.23797376,1.942192466,age_over_60
2063_0_1,0.087038386,1.332905005,0.155728139,0.156891282,0.082333608,1.10E-10,0,0,3.53E-10,1.039720771,0.002352389,0.000470478,0.000470478,0.000470478,0,0.000516873,0.001411433,2.543478261,55.85410628,2.008470136,age_over_60
2063_0_2,0.04610682,1.515047705,0.081392653,0.325082973,0.004704778,1.11E-11,0,0,3.28E-10,0.693147181,0.001881911,0.001411433,0.000470478,0.001411433,0,0.000472474,0.003293344,2.480525575,56.88198029,1.82545596,age_over_60
2063_0_3,0.124206129,1.471231467,0.207480692,0.562335145,0.001881911,1.14E-10,0,0,1.14E-10,2.28158169,0.007057166,0.001881911,0.000470478,0.001411433,0.000470478,0.000571579,0.0042343,2.550066167,55.50683723,1.933904329,age_over_60
2063_0_0,0.053163987,1.343279618,0.094095552,0.124250837,0.12185374,1.30E-10,0,0,0,0,0.000470478,0.000470478,0,0,0,0,0.000470478,2.29406308,54.60528757,2.004111303,age_over_60
2064_1_1,0.23100458,1.461029893,0.367913608,0.403164267,0.141613806,4.08E-11,0,0,3.43E-10,3.508969449,0.011761944,0.001411433,0.000940956,0.001881911,0.000470478,0.000602143,0.004704778,1.901199315,31.25099943,1.723987079,age_under_18
2064_1_2,0.14914145,1.383971602,0.273347579,0.256639864,0.103034629,1.31E-10,0.000470478,2.47E-10,4.81E-10,3.704897642,0.015525766,0.000940956,0.002822867,0.002822867,0.000470478,0.00055621,0.007057166,2.188383645,35.4751624,2.057692428,age_under_18
2064_1_3,0.727829095,1.525849219,1.237356509,2.090030898,0.102093674,1.67E-10,0.021641977,1.80E-09,1.47E-09,6.798390368,0.143966195,0.021641977,0.021171499,0.013173377,0.031051532,0.000632041,0.087038386,2.03917429,41.95179451,1.959458041,age_over_60
2064_1_0_1,0.967302275,1.353615175,1.548812786,0.065881488,0.528817002,3.17E-10,0.024464844,1.48E-09,0,3.772909919,0.047047776,0.013173377,0.016937199,0.003763822,0.003763822,0.002234361,0.037638221,1.98466396,33.31100586,1.817532117,age_under_18
2064_1_0_2,0.472359671,1.719343949,0.846859968,1.424129917,0.022582932,2.64E-10,0,0,0,3.41546572,0.03575631,0.001881911,0.009409555,0,0.001881911,0.001498588,0.013173377,1.88593482,31.48027444,1.788151274,age_under_18
2064_1_0_3,0.94095552,1.44754309,1.535639409,1.494175138,0.015055288,1.45E-10,0.007527644,0,2.13E-09,3.626957853,0.133615684,0.009409555,0.011291466,0.009409555,0.013173377,0.002589678,0.043283954,2.139880952,42.30165816,1.976881363,age_over_60
2064_1_0_0,0.553281846,1.373486968,1.003058585,0.950270539,0.009409555,1.72E-10,0,0,4.37E-10,0.600097608,0.129851862,0.003763822,0.001881911,0.007527644,0.007527644,0.002378085,0.020701021,1.837802768,32.52205882,1.652975359,age_over_60
2064_2_1,0.358033575,1.485094687,0.591390545,0.659419218,0.073865008,5.76E-12,0.000940956,8.10E-11,4.98E-10,5.122557835,0.089861252,0.005645733,0.025876277,0.006586689,0.014114333,0.000566069,0.052223031,1.995096837,34.46665849,1.867317593,age_over_60
2064_2_2,0.295930511,1.232827717,0.487885437,1.347476407,0.012232422,3.45E-11,0,0,0,3.723408128,0.028699143,0.002352389,0.006586689,0.000940956,0.002822867,0.000555107,0.0127029,1.790229885,28.81226054,1.718766552,age_under_18
2064_2_3,0.270524712,1.471566011,0.470948238,1.545268977,0.020701021,5.73E-12,0,2.14E-09,7.91E-10,4.928043762,0.05880972,0.005645733,0.008939077,0.011761944,0.007057166,0.000634777,0.033403921,1.791907514,50.3187073,1.886871732,age_over_60
2064_2_0,0.292166689,1.279851551,0.51046837,1.542442976,0.010820988,1.38E-10,0.000940956,1.34E-09,6.74E-10,3.965255179,0.042813476,0.003293344,0.006116211,0.005175255,0.005175255,0.000641448,0.019760066,1.988764045,41.24445053,1.991257016,age_30_40
2064_3_1,0.051282076,1.441384234,0.08609743,0,0.000470478,7.04E-12,0,0,7.42E-10,2.460908653,0.007057166,0.001411433,0.000470478,0.001881911,0.000470478,0.000571579,0.0042343,2.215780998,58.70531401,1.942548918,age_30_40
2064_3_2,0.22677028,1.563473457,0.390026063,1.837212789,0.014114333,6.06E-11,0,1.11E-09,6.98E-10,4.427880881,0.022112455,0.005645733,0.002822867,0.003763822,0.003293344,0.000635265,0.015525766,2.218832891,68.12599469,1.797365638,age_30_40
2064_3_3,0.062573542,1.454318499,0.104446063,0.298758058,0.013643855,1.12E-11,0.000470478,9.02E-11,4.24E-10,3.702232886,0.013643855,0.002352389,0.002822867,0.002352389,0.003293344,0.00064742,0.010820988,2.606623586,61.6595315,1.846574212,age_over_60
2064_3_0,0.065396409,1.550746224,0.111503229,0,0.000470478,1.46E-12,0.000470478,5.24E-10,0,2.216102248,0.005175255,0.000470478,0,0.000470478,0,0.00032611,0.000940956,1.809859155,72.37147887,1.583001363,age_over_60
2064_0_1,0.153846228,1.506022885,0.286991434,0.347066826,0.016466722,1.42E-11,0,0,3.41E-10,2.732817947,0.040931565,0.001881911,0.003293344,0.000940956,0.000470478,0.000550928,0.006586689,1.870117498,33.99190219,1.811510829,age_under_18
2064_0_2,0.131263295,1.733713027,0.24370748,1.002718265,0.0042343,9.93E-11,0,1.05E-11,3.73E-10,4.52740965,0.014114333,0.002352389,0.001411433,0.002352389,0,0.000505008,0.006116211,1.959843291,39.88932419,1.940555661,age_over_60
2064_0_3,0.095036508,1.469184793,0.166078649,0,0.000470478,0,0,0,8.79E-11,1.039720771,0.002352389,0.000940956,0,0.000470478,0,0.000299466,0.001411433,2.050303556,57.09843886,1.838669991,age_over_60
2064_0_0,0.07151262,1.454295515,0.129851862,0,0.003293344,0,0,0,0,0.500402424,0.002352389,0,0,0,0,0,0,1.626865672,39.10244233,1.715457747,age_over_60
2097_1_1,0.264878979,1.565060497,0.471889193,0.11085089,0.07762883,6.84E-10,0.000940956,8.77E-10,1.29E-09,4.862489449,0.024935321,0.003293344,0.003763822,0.007057166,0.003763822,0.000627903,0.017878155,2.086891386,40.35580524,1.958606591,age_50_60
2097_1_2,0.207010214,1.51474952,0.346742109,0.63903186,0.004704778,1.07E-10,0,1.07E-10,5.63E-10,1.473502385,0.006116211,0.000940956,0,0.003293344,0.000470478,0.000377238,0.004704778,2.311557789,55.46432161,1.92250829,age_50_60
